method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps,teacher_queries
active_query_ct0.0,0,linear,0.05,0.3,0.4633333333333333,-0.16097333333333338,4.382,0.2654799939144987,0.6033333333333334,1687,0
active_query_ct0.5,0,linear,0.05,0.3,0.698,0.3178266666666666,3.9086666666666665,0.15452839843083746,0.7053333333333334,1588,52
active_query_ct0.7,0,linear,0.05,0.3,0.5613333333333334,0.03881333333333327,4.192666666666667,0.28017172841469234,0.6493333333333333,1612,192
active_query_ct0.9,0,linear,0.05,0.3,0.792,0.5077066666666666,3.8146666666666667,0.13369451240824887,0.776,1602,323
active_query_ct1.0,0,linear,0.05,0.3,0.792,0.5077066666666666,3.8146666666666667,0.13369451240824887,0.7986666666666666,1607,983
active_query_ct0.0,1,linear,0.05,0.3,0.768,0.45866666666666667,3.8666666666666667,0.14482758620689656,0.7166666666666667,1675,0
active_query_ct0.5,1,linear,0.05,0.3,0.768,0.45866666666666667,3.8666666666666667,0.14482758620689656,0.774,1646,58
active_query_ct0.7,1,linear,0.05,0.3,0.7,0.3222399999999999,3.888,0.15432098765432098,0.73,1641,84
active_query_ct0.9,1,linear,0.05,0.3,0.7,0.3222399999999999,3.888,0.15432098765432098,0.7613333333333333,1628,269
active_query_ct1.0,1,linear,0.05,0.3,0.7,0.3222399999999999,3.888,0.15432098765432098,0.7866666666666666,1600,966
active_query_ct0.0,2,linear,0.05,0.3,0.6953333333333334,0.31255999999999995,3.9053333333333335,0.050358484124274495,0.7086666666666667,1562,0
active_query_ct0.5,2,linear,0.05,0.3,0.6953333333333334,0.31255999999999995,3.9053333333333335,0.050358484124274495,0.7086666666666667,1562,0
active_query_ct0.7,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.9313333333333333,1552,153
active_query_ct0.9,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.9846666666666667,1568,168
active_query_ct1.0,2,linear,0.05,0.3,0.692,0.3050399999999999,3.948,0.10520094562647754,0.846,1558,937
active_query_ct0.0,3,linear,0.05,0.3,0.5453333333333333,0.03549333333333328,2.7586666666666666,0.0,0.5386666666666666,1507,0
active_query_ct0.5,3,linear,0.05,0.3,0.5453333333333333,0.03549333333333328,2.7586666666666666,0.0,0.558,1504,64
active_query_ct0.7,3,linear,0.05,0.3,0.5453333333333333,0.03549333333333328,2.7586666666666666,0.0,0.624,1505,157
active_query_ct0.9,3,linear,0.05,0.3,0.814,0.56236,3.282,0.0,0.8133333333333334,1521,253
active_query_ct1.0,3,linear,0.05,0.3,0.814,0.56236,3.282,0.0,0.7933333333333333,1534,900
active_query_ct0.0,4,linear,0.05,0.3,1.0,0.9339866666666665,3.300666666666667,0.03373055948293274,0.954,1596,0
active_query_ct0.5,4,linear,0.05,0.3,0.6813333333333333,0.2839066666666666,3.938,0.10919248349415947,0.8666666666666667,1584,34
active_query_ct0.7,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.9633333333333334,1560,73
active_query_ct0.9,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.988,1560,101
active_query_ct1.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.9486666666666667,1581,951
