method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps,teacher_queries
offline_opd,0,linear,0.0,0.3,0.696,0.31359999999999993,3.92,0.30612244897959184,,,
rang_kd,0,linear,0.0,0.3,0.696,0.31395999999999996,3.902,,,,
offline_opd_full_adv,0,linear,0.0,0.3,0.696,0.31395999999999996,3.902,,,,
offline_opd_branch_replay,0,linear,0.0,0.3,0.696,0.31395999999999996,3.902,,,,
offline_opd,0,linear,0.05,0.3,0.4633333333333333,-0.16097333333333338,4.382,0.2910390993458086,,,
rang_kd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_full_adv,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_branch_replay,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd,0,linear,0.15,0.3,0.466,-0.15566666666666673,4.383333333333334,0.36547528517110267,,,
rang_kd,0,linear,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_full_adv,0,linear,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_branch_replay,0,linear,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd,0,linear,0.3,0.3,0.5613333333333334,0.06703999999999995,2.7813333333333334,0.0,,,
rang_kd,0,linear,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_full_adv,0,linear,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd_branch_replay,0,linear,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,,
offline_opd,1,linear,0.0,0.3,0.4693333333333333,-0.14829333333333342,4.348,0.35863232137381174,,,
rang_kd,1,linear,0.0,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,,
offline_opd_full_adv,1,linear,0.0,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,,
offline_opd_branch_replay,1,linear,0.0,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,,
offline_opd,1,linear,0.05,0.3,0.768,0.45866666666666667,3.8666666666666667,0.06465517241379311,,,
rang_kd,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_full_adv,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_branch_replay,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd,1,linear,0.15,0.3,0.7,0.3222399999999999,3.888,0.07716049382716049,,,
rang_kd,1,linear,0.15,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_full_adv,1,linear,0.15,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_branch_replay,1,linear,0.15,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd,1,linear,0.3,0.3,1.0,0.9282400000000001,3.588,0.0,,,
rang_kd,1,linear,0.3,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_full_adv,1,linear,0.3,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd_branch_replay,1,linear,0.3,0.3,1.0,0.9282400000000001,3.588,,,,
offline_opd,2,linear,0.0,0.3,0.6953333333333334,0.3121866666666666,3.924,0.3107373428474346,,,
rang_kd,2,linear,0.0,0.3,0.6953333333333334,0.3121866666666666,3.924,,,,
offline_opd_full_adv,2,linear,0.0,0.3,0.6953333333333334,0.3121866666666666,3.924,,,,
offline_opd_branch_replay,2,linear,0.0,0.3,0.6953333333333334,0.3121866666666666,3.924,,,,
offline_opd,2,linear,0.05,0.3,0.6953333333333334,0.31255999999999995,3.9053333333333335,0.050358484124274495,,,
rang_kd,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_full_adv,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_branch_replay,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd,2,linear,0.15,0.3,0.692,0.3050399999999999,3.948,0.1308679500168862,,,
rang_kd,2,linear,0.15,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_full_adv,2,linear,0.15,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_branch_replay,2,linear,0.15,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd,2,linear,0.3,0.3,0.692,0.3050399999999999,3.948,0.025160418777440054,,,
rang_kd,2,linear,0.3,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_full_adv,2,linear,0.3,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd_branch_replay,2,linear,0.3,0.3,1.0,0.9272000000000001,3.64,,,,
offline_opd,3,linear,0.0,0.3,0.826,0.5968266666666665,2.7586666666666666,0.09255679072015466,,,
rang_kd,3,linear,0.0,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,,
