method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
sft,0,linear,0.05,0.1,0.8986666666666666,0.7314933333333332,3.292,,,
offline_opd,0,linear,0.05,0.1,0.604,0.12987999999999994,3.906,0.22000341355180064,,
rang_kd,0,linear,0.05,0.1,1.0,0.9359466666666666,3.2026666666666666,,,
offline_opd_support_aware,0,linear,0.05,0.1,0.93,0.7974666666666665,3.1266666666666665,,,
online_opd,0,linear,0.05,0.1,1.0,0.9359466666666666,3.2026666666666666,,,
sft,0,linear,0.05,0.2,0.7953333333333333,0.5187599999999999,3.5953333333333335,,,
offline_opd,0,linear,0.05,0.2,0.534,-0.015053333333333406,4.152666666666667,0.25670252046877506,,
rang_kd,0,linear,0.05,0.2,1.0,0.9318533333333333,3.4073333333333333,,,
offline_opd_support_aware,0,linear,0.05,0.2,0.8566666666666667,0.6488266666666666,3.2253333333333334,,,
online_opd,0,linear,0.05,0.2,1.0,0.9318533333333333,3.4073333333333333,,,
sft,0,linear,0.05,0.3,0.696,0.31395999999999996,3.902,,,
offline_opd,0,linear,0.05,0.3,0.4633333333333333,-0.16097333333333338,4.382,0.2910390993458086,,
rang_kd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
offline_opd_support_aware,0,linear,0.05,0.3,0.792,0.5176933333333332,3.3153333333333332,,,
online_opd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,linear,0.05,0.45,0.5486666666666666,0.010106666666666583,4.3613333333333335,,,
offline_opd,0,linear,0.05,0.45,0.372,-0.3499866666666668,4.699333333333334,0.3326713008937438,,
rang_kd,0,linear,0.05,0.45,1.0,0.9221866666666666,3.8906666666666667,,,
offline_opd_support_aware,0,linear,0.05,0.45,0.7013333333333334,0.3334133333333333,3.462666666666667,,,
online_opd,0,linear,0.05,0.45,1.0,0.9221866666666666,3.8906666666666667,,,
sft,1,linear,0.05,0.1,0.8966666666666666,0.7274799999999999,3.292666666666667,,,
offline_opd,1,linear,0.05,0.1,0.9233333333333333,0.7797866666666665,3.344,0.03588516746411483,,
rang_kd,1,linear,0.05,0.1,1.0,0.9358799999999999,3.206,,,
offline_opd_support_aware,1,linear,0.05,0.1,1.0,0.9358799999999999,3.206,,,
online_opd,1,linear,0.05,0.1,1.0,0.9358799999999999,3.206,,,
sft,1,linear,0.05,0.2,0.7993333333333333,0.5272399999999999,3.5713333333333335,,,
offline_opd,1,linear,0.05,0.2,0.86,0.6489466666666666,3.5526666666666666,0.05085381872771627,,
rang_kd,1,linear,0.05,0.2,1.0,0.9321599999999999,3.392,,,
offline_opd_support_aware,1,linear,0.05,0.2,1.0,0.9321599999999999,3.392,,,
online_opd,1,linear,0.05,0.2,1.0,0.9321599999999999,3.392,,,
sft,1,linear,0.05,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,
offline_opd,1,linear,0.05,0.3,0.768,0.45866666666666667,3.8666666666666667,0.06465517241379311,,
rang_kd,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,
offline_opd_support_aware,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,
online_opd,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,,,
sft,1,linear,0.05,0.45,0.5553333333333333,0.02402666666666658,4.332,,,
