method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps,teacher_queries
teacher,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.08373382624768946,1.0,0,
sft,0,linear,0.05,0.3,0.696,0.31395999999999996,3.902,0.0,0.7606666666666667,0,
offline_opd,0,linear,0.05,0.3,1.0,0.9336933333333333,3.3153333333333332,0.06092901669012669,0.8093333333333333,661,
rang_kd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.08373382624768946,0.8813333333333333,625,
offline_opd_active_query,0,linear,0.05,0.3,0.698,0.3178266666666666,3.9086666666666665,0.10131332082551595,0.642,1592,106.0
offline_opd_full_adv,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.08373382624768946,0.878,665,
offline_opd_branch_replay,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.08373382624768946,0.924,632,
online_opd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.08373382624768946,0.994,30225,
online_rl,0,linear,0.05,0.3,1.0,0.9187733333333332,4.061333333333334,0.1303348653972423,0.998,165526,
teacher,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,1.0,0,
sft,1,linear,0.05,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,0.0,0.764,0,
offline_opd,1,linear,0.05,0.3,0.8013333333333333,0.5369066666666666,3.288,0.0,0.7273333333333334,627,
rang_kd,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.8626666666666667,644,
offline_opd_active_query,1,linear,0.05,0.3,0.8,0.5342399999999999,3.288,0.0,0.7966666666666666,1527,238.0
offline_opd_full_adv,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.8766666666666667,641,
offline_opd_branch_replay,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.898,638,
online_opd,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.9906666666666667,30245,
online_rl,1,linear,0.05,0.3,1.0,0.928,3.6,0.3611111111111111,0.9973333333333333,153162,
teacher,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.08461538461538462,1.0,0,
sft,2,linear,0.05,0.3,0.6953333333333334,0.3121866666666666,3.924,0.0,0.7206666666666667,0,
offline_opd,2,linear,0.05,0.3,0.228,-0.6457600000000001,5.088,0.455188679245283,0.588,626,
rang_kd,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.08461538461538462,0.836,647,
offline_opd_active_query,2,linear,0.05,0.3,0.9006666666666666,0.7285333333333333,3.64,0.08461538461538462,0.8786666666666667,1517,139.0
offline_opd_full_adv,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.08461538461538462,0.87,637,
offline_opd_branch_replay,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.08461538461538462,0.8953333333333333,626,
online_opd,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.08461538461538462,0.9886666666666667,30380,
online_rl,2,linear,0.05,0.3,1.0,0.92764,3.618,0.14059332964805601,1.0,154663,
teacher,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.04672546443985738,1.0,0,
sft,3,linear,0.05,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,0.0,0.7446666666666667,0,
offline_opd,3,linear,0.05,0.3,0.4493333333333333,-0.18996000000000005,4.431333333333333,0.16548819016097488,0.5273333333333333,619,
rang_kd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.04672546443985738,0.894,635,
offline_opd_active_query,3,linear,0.05,0.3,1.0,0.9288133333333334,3.5593333333333335,0.09983142910657426,0.8426666666666667,1639,171.0
offline_opd_full_adv,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.04672546443985738,0.8493333333333334,620,
offline_opd_branch_replay,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.04672546443985738,0.8886666666666667,633,
online_opd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.04672546443985738,0.9906666666666667,30322,
online_rl,3,linear,0.05,0.3,1.0,0.9288133333333334,3.5593333333333335,0.09983142910657426,0.9966666666666667,154358,
teacher,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,1.0,0,
sft,4,linear,0.05,0.3,0.68,0.2811999999999999,3.94,0.0,0.7533333333333333,0,
offline_opd,4,linear,0.05,0.3,0.68,0.28107999999999994,3.946,0.05338739651968238,0.6706666666666666,632,
rang_kd,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.872,658,
offline_opd_active_query,4,linear,0.05,0.3,1.0,0.92728,3.636,0.14888155482214888,0.968,1516,143.0
offline_opd_full_adv,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.8633333333333333,648,
offline_opd_branch_replay,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.906,621,
online_opd,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.9886666666666667,30422,
online_rl,4,linear,0.05,0.3,1.0,0.927,3.65,0.11799086757990868,0.9953333333333333,158723,
