method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps,teacher_queries
branch_replay_g0.0,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.10979667282809612,0.8653333333333333,624,
branch_replay_g1.0,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.10979667282809612,0.876,624,
branch_replay_g5.0,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.10979667282809612,0.8793333333333333,624,
branch_replay_g20.0,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.10979667282809612,0.8846666666666667,624,
branch_replay_g100.0,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,0.10979667282809612,0.898,624,
branch_replay_g0.0,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.878,634,
branch_replay_g1.0,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.8766666666666667,634,
branch_replay_g5.0,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.898,634,
branch_replay_g20.0,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.9413333333333334,634,
branch_replay_g100.0,1,linear,0.05,0.3,1.0,0.9282400000000001,3.588,0.08361204013377926,0.9666666666666667,634,
branch_replay_g0.0,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.84,621,
branch_replay_g1.0,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.878,621,
branch_replay_g5.0,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.9073333333333333,621,
branch_replay_g20.0,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.944,621,
branch_replay_g100.0,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,0.057326007326007324,0.9633333333333334,621,
branch_replay_g0.0,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.07618690185775943,0.894,634,
branch_replay_g1.0,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.07618690185775943,0.9026666666666666,634,
branch_replay_g5.0,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.07618690185775943,0.9213333333333333,634,
branch_replay_g20.0,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.07618690185775943,0.9313333333333333,634,
branch_replay_g100.0,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,0.07618690185775943,0.9526666666666667,634,
branch_replay_g0.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.872,630,
branch_replay_g1.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.8953333333333333,630,
branch_replay_g5.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.9153333333333333,630,
branch_replay_g20.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.942,630,
branch_replay_g100.0,4,linear,0.05,0.3,1.0,0.92724,3.638,0.08905992303463442,0.9706666666666667,630,
