method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
sft,0,linear,0.0,0.3,0.696,0.31395999999999996,3.902,,,
offline_opd,0,linear,0.0,0.3,0.696,0.31359999999999993,3.92,0.30612244897959184,,
rang_kd,0,linear,0.0,0.3,0.696,0.31395999999999996,3.902,,,
online_opd,0,linear,0.0,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,tabular,0.0,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,,,
offline_opd,0,tabular,0.0,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,0.3116595744680851,,
rang_kd,0,tabular,0.0,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,,,
online_opd,0,tabular,0.0,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,linear,0.05,0.3,0.696,0.31395999999999996,3.902,,,
offline_opd,0,linear,0.05,0.3,0.4633333333333333,-0.16097333333333338,4.382,0.2910390993458086,,
rang_kd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
online_opd,0,linear,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,tabular,0.05,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,,,
offline_opd,0,tabular,0.05,0.3,0.6933333333333334,0.30823999999999996,3.921333333333333,0.15011900714042842,,
rang_kd,0,tabular,0.05,0.3,0.8066666666666666,0.5368666666666666,3.8233333333333333,,,
online_opd,0,tabular,0.05,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,linear,0.15,0.3,0.696,0.31395999999999996,3.902,,,
offline_opd,0,linear,0.15,0.3,0.466,-0.15566666666666673,4.383333333333334,0.36547528517110267,,
rang_kd,0,linear,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
online_opd,0,linear,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,tabular,0.15,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,,,
offline_opd,0,tabular,0.15,0.3,0.6933333333333334,0.30823999999999996,3.921333333333333,0.12308738524311459,,
rang_kd,0,tabular,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
online_opd,0,tabular,0.15,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,linear,0.3,0.3,0.696,0.31395999999999996,3.902,,,
offline_opd,0,linear,0.3,0.3,0.5613333333333334,0.06703999999999995,2.7813333333333334,0.0,,
rang_kd,0,linear,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
online_opd,0,linear,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,0,tabular,0.3,0.3,0.6953333333333334,0.31233333333333324,3.9166666666666665,,,
offline_opd,0,tabular,0.3,0.3,0.792,0.5058266666666666,3.9086666666666665,0.04809824322019444,,
rang_kd,0,tabular,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
online_opd,0,tabular,0.3,0.3,1.0,0.9278666666666668,3.6066666666666665,,,
sft,1,linear,0.0,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,
offline_opd,1,linear,0.0,0.3,0.4693333333333333,-0.14829333333333342,4.348,0.35863232137381174,,
rang_kd,1,linear,0.0,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,
online_opd,1,linear,0.0,0.3,1.0,0.9282400000000001,3.588,,,
sft,1,tabular,0.0,0.3,0.7006666666666667,0.3234666666666666,3.8933333333333335,,,
offline_opd,1,tabular,0.0,0.3,0.7006666666666667,0.3234666666666666,3.8933333333333335,0.3083904109589041,,
rang_kd,1,tabular,0.0,0.3,0.7006666666666667,0.3234666666666666,3.8933333333333335,,,
online_opd,1,tabular,0.0,0.3,1.0,0.9282400000000001,3.588,,,
sft,1,linear,0.05,0.3,0.6986666666666667,0.3198266666666666,3.8753333333333333,,,
offline_opd,1,linear,0.05,0.3,0.768,0.45866666666666667,3.8666666666666667,0.06465517241379311,,
